Tag,Tank,Date,BW,Temp,Sal,Notes
A163,4,2020-08-12,5.5887,28.8,32.5,
A172,4,2020-08-12,3.7011,28.8,32.5,
A176,4,2020-08-12,7.8664,28,32.1,
A179,4,2020-08-12,4.129,28,32.2,
A198,4,2020-08-12,3.7116,28,32.2,
A199,4,2020-08-12,10.0163,27.9,32.2,
227,5,2020-08-12,2.8772,27.9,32.2,
228,5,2020-08-12,6.6506,27.8,32.2,
250,5,2020-08-12,4.6523,28.2,32.1,
252,5,2020-08-12,4.5866,28.2,32.1,
256,5,2020-08-12,10.0172,28.2,32.1,
264,5,2020-08-12,9.9902,27.7,32.1,
268,5,2020-08-12,6.7542,27.8,32.1,
276,5,2020-08-12,6.9445,27.8,32.1,
A004,5,2020-08-12,4.0492,28.2,32.5,
A015,5,2020-08-12,3.3218,28.2,32.5,
A017,5,2020-08-12,3.3628,28.5,32.2,
A028,5,2020-08-12,3.2007,28.4,32.2,
A049,5,2020-08-12,6.1234,28,32.4,
A057,5,2020-08-12,5.9238,28,32.4,
A062,5,2020-08-12,3.2493,28.1,32.4,
A066,5,2020-08-12,3.866,28,32.2,
A086,5,2020-08-12,4.4863,28.1,32.2,
A087,5,2020-08-12,4.6384,27.9,32.2,
A091,5,2020-08-12,4.471,28.4,32.5,
A095,5,2020-08-12,4.5602,28.3,32.5,
A109,5,2020-08-12,4.4274,28.2,32.5,
A115,5,2020-08-12,3.4354,29,32.4,
A121,5,2020-08-12,6.3228,28.3,32.5,
A154,5,2020-08-12,4.4498,28.8,32.5,
A160,5,2020-08-12,4.336,28.7,32.5,
A166,5,2020-08-12,6.2214,28.7,32.5,
A180,5,2020-08-12,4.1105,28.1,32.1,
A181,5,2020-08-12,4.3461,27.9,32.1,
A189,5,2020-08-12,3.3582,28,32.1,
A200,5,2020-08-12,6.3344,27.8,32.2,
217,6,2020-08-12,5.5237,27.9,32.2,
221,6,2020-08-12,3.043,27.9,32.2,
224,6,2020-08-12,7.0216,27.9,32.2,
241,6,2020-08-12,7.6225,28.2,32.1,
244,6,2020-08-12,4.3522,28.2,32.1,
251,6,2020-08-12,4.9132,28.1,32.1,
274,6,2020-08-12,8.9182,27.8,32.1,
277,6,2020-08-12,4.6978,27.7,32.1,
288,6,2020-08-12,7.2481,27.7,32.1,
A003,6,2020-08-12,3.9767,28.2,32.5,
A016,6,2020-08-12,3.6198,28.4,32.2,
A020,6,2020-08-12,3.0286,28.4,32.2,
A032,6,2020-08-12,6.5736,28.4,32.2,
A044,6,2020-08-12,5.7158,28.3,32.2,
A050,6,2020-08-12,3.5156,28.3,32.3,
A059,6,2020-08-12,6.6528,28.2,32.4,
A063,6,2020-08-12,4.4348,28.1,32.2,
A082,6,2020-08-12,5.0226,28.1,32.2,
A090,6,2020-08-12,3.9207,28.1,32.2,
A096,6,2020-08-12,3.5827,28.2,32.5,
A098,6,2020-08-12,5.2164,28.2,32.5,
A112,6,2020-08-12,3.7243,29.1,32.4,
A122,6,2020-08-12,4.6035,28.3,32.5,
A123,6,2020-08-12,4.1702,29,32.4,
A128,6,2020-08-12,4.3826,28.3,32.5,
A132,6,2020-08-12,5.8177,28.2,32.5,
A173,6,2020-08-12,3.9846,28.7,32.5,
A174,6,2020-08-12,4.7029,28.6,32.5,
A177,6,2020-08-12,4.4121,27.9,32.1,
A178,6,2020-08-12,3.4993,28,32.2,
A194,6,2020-08-12,3.8151,28.1,32.1,
208,7,2020-08-12,4.9289,27.9,32.2,
218,7,2020-08-12,3.9264,27.9,32.2,
229,7,2020-08-12,7.4643,27.8,32.2,
230,7,2020-08-12,7.4506,28.2,32.1,
243,7,2020-08-12,5.0432,28.3,32.1,
245,7,2020-08-12,3.9241,28.3,32.1,
279,7,2020-08-12,4.4444,27.8,32.1,
281,7,2020-08-12,7.569,27.8,32.1,
283,7,2020-08-12,8.1416,27.7,32.1,
A005,7,2020-08-12,6.3521,28.2,32.5,
A012,7,2020-08-12,3.9294,28.3,32.5,
A030,7,2020-08-12,3.6587,28.4,32.2,
A031,7,2020-08-12,4.9139,28.5,32.2,
A033,7,2020-08-12,2.772,28.5,32.2,
A047,7,2020-08-12,4.0009,28.1,32.4,
A053,7,2020-08-12,7.6017,28.1,32.4,
A055,7,2020-08-12,5.609,28.1,32.4,
A069,7,2020-08-12,3.9861,28.1,32.2,
A073,7,2020-08-12,5.7486,27.9,32.2,
A088,7,2020-08-12,4.283,28,32.2,
A103,7,2020-08-12,3.7521,28.2,32.5,
A104,7,2020-08-12,4.842,28.4,32.5,
A110,7,2020-08-12,3.8774,29.1,32.4,
A113,7,2020-08-12,5.7449,28.3,32.5,
A120,7,2020-08-12,4.0707,28.3,32.5,
A164,7,2020-08-12,6.0181,28.7,32.5,
A169,7,2020-08-12,3.7532,28.8,32.5,
A170,7,2020-08-12,5.0514,28.7,32.5,
A182,7,2020-08-12,4.7185,28.1,32.1,
A186,7,2020-08-12,3.7961,28,32.1,
A191,7,2020-08-12,3.6185,28,32.1,
207,8,2020-08-12,4.6307,27.9,32.2,
209,8,2020-08-12,4.1622,27.8,32.2,
225,8,2020-08-12,8.9163,27.9,32.2,
234,8,2020-08-12,6.1609,28.2,32.1,
242,8,2020-08-12,5.4826,28.2,32.1,
260,8,2020-08-12,3.0918,28.2,32.1,
263,8,2020-08-12,3.5352,27.8,32.1,
273,8,2020-08-12,7.7925,27.8,32.1,
275,8,2020-08-12,7.8291,27.7,32.1,
A006,8,2020-08-12,3.9418,28.4,32.5,
A013,8,2020-08-12,3.7984,28.2,32.5,
A023,8,2020-08-12,4.6397,28.5,32.2,
A025,8,2020-08-12,3.7961,28.4,32.2,
A035,8,2020-08-12,2.6985,28.5,32.2,
A042,8,2020-08-12,4.7328,28.3,32.3,
A043,8,2020-08-12,4.249,28.3,32.4,
A054,8,2020-08-12,7.9132,28.1,32.4,
A065,8,2020-08-12,4.0968,28.1,32.2,
A079,8,2020-08-12,4.0319,28.1,32.2,
A080,8,2020-08-12,6.3749,28.1,32.2,
A085,8,2020-08-12,4.984,28.2,32.5,
A093,8,2020-08-12,6.8063,28.2,32.5,
A099,8,2020-08-12,3.7962,28.2,32.5,
A124,8,2020-08-12,4.0484,29.1,32.4,
A133,8,2020-08-12,5.4344,28.2,32.5,
A156,8,2020-08-12,5.9464,28.8,32.5,
A168,8,2020-08-12,5.2282,28.8,32.5,
A171,8,2020-08-12,3.5358,28.7,32.5,
A187,8,2020-08-12,7.5583,27.9,32.1,
A193,8,2020-08-12,3.7263,28.1,32.1,
A197,8,2020-08-12,3.7019,27.9,32.1,
257,Holding,2020-08-12,2.8094,28.3,32.1,
A070,Holding,2020-08-12,3.6038,28.1,32.2,
A092,Holding,2020-08-12,3.6358,28.1,32.2,
A141,Holding,2020-08-12,3.2452,28.2,32.5,
A148,Holding,2020-08-12,3.0481,28.2,32.5,
205,1,2020-08-21,7.0894,28.1,33.3,
220,1,2020-08-21,4.8355,28,33.4,
226,1,2020-08-21,2.9426,28,33.5,
231,1,2020-08-21,4.7069,28.1,33.5,
247,1,2020-08-21,5.9326,28.1,33.5,
253,1,2020-08-21,11.3011,28.2,33.4,
262,1,2020-08-21,6.9866,28,33.5,
289,1,2020-08-21,10.9382,28,33.5,
291,1,2020-08-21,7.89548,28.1,33.5,
A001,1,2020-08-21,4.7693,28,33.5,
A007,1,2020-08-21,3.9008,27.9,33.5,
A009,1,2020-08-21,3.589,28,33.5,
A019,1,2020-08-21,3.3468,27.9,33.5,
A022,1,2020-08-21,3.7836,27.9,33.5,
A024,1,2020-08-21,6.7042,27.9,33.5,
A048,1,2020-08-21,3.4256,28.1,33.5,
A051,1,2020-08-21,5.6369,28,33.5,
A061,1,2020-08-21,6.3755,28,33.5,
A067,1,2020-08-21,5.6261,28,33.5,
A075,1,2020-08-21,3.9326,28,33.5,
A077,1,2020-08-21,4.3251,28,33.5,
A084,1,2020-08-21,5.0266,28,33.5,
A105,1,2020-08-21,4.1606,28.1,33.4,
A116,1,2020-08-21,4.1526,28.1,33.4,
A127,1,2020-08-21,4.6866,28.2,33.4,
A152,1,2020-08-21,7.8189,28.2,33.4,
A158,1,2020-08-21,5.2349,28.1,33.5,
A159,1,2020-08-21,4.4126,28,33.5,
A184,1,2020-08-21,4.3831,28,33.5,
A192,1,2020-08-21,3.7584,28.1,33.4,
A196,1,2020-08-21,3.3624,28.2,33.3,
211,2,2020-08-21,3.4792,27.8,33.6,
214,2,2020-08-21,4.9958,27.8,33.6,
222,2,2020-08-21,7.3784,27.9,33.5,
237,2,2020-08-21,7.8517,27.9,33.5,
238,2,2020-08-21,5.537,27.9,33.6,
239,2,2020-08-21,4.5076,27.8,33.5,
270,2,2020-08-21,7.8426,27.9,33.5,
282,2,2020-08-21,6.555,27.6,33.6,
296,2,2020-08-21,10.0755,27.8,33.6,
A010,2,2020-08-21,3.7074,27.8,33.6,
A026,2,2020-08-21,3.168,27.8,33.6,
A029,2,2020-08-21,6.7221,27.2,33.6,
A038,2,2020-08-21,3.7002,27.7,33.6,
A041,2,2020-08-21,7.2849,27.7,33.6,
A052,2,2020-08-21,3.6975,27.7,33.6,
A060,2,2020-08-21,5.745,27.7,33.6,
A072,2,2020-08-21,4.4243,27.6,33.6,
A078,2,2020-08-21,5.2442,27.7,33.6,
A083,2,2020-08-21,4.0166,27.7,33.6,
A097,2,2020-08-21,5.4043,27.8,33.6,
A101,2,2020-08-21,3.9809,27.8,33.6,
A111,2,2020-08-21,5.8768,27.8,33.6,
A114,2,2020-08-21,4.0036,27.8,33.6,
A131,2,2020-08-21,4.7586,27.7,33.6,
A134,2,2020-08-21,4.3876,27.8,33.6,
A157,2,2020-08-21,5.0728,27.8,33.6,
A161,2,2020-08-21,6.1332,27.8,33.6,
A165,2,2020-08-21,4.3176,27.8,33.6,
A183,2,2020-08-21,4.7123,27.7,33.6,
A185,2,2020-08-21,3.5573,27.8,33.6,
A188,2,2020-08-21,3.8481,27.8,33.6,
201,3,2020-08-21,7.6186,27.8,33.6,Batch 2
202,3,2020-08-21,6.1978,27.7,33.6,
215,3,2020-08-21,4.1282,27.8,33.6,
232,3,2020-08-21,7.5982,27.8,33.6,
254,3,2020-08-21,5.0824,27.8,33.6,
258,3,2020-08-21,4.3463,27.7,33.6,
265,3,2020-08-21,8.6587,27.8,33.6,
269,3,2020-08-21,7.4781,27.8,33.6,
293,3,2020-08-21,4.5834,27.8,33.6,
A011,3,2020-08-21,5.0534,27.7,33.6,
A014,3,2020-08-21,3.767,27.8,33.6,
A018,3,2020-08-21,3.4691,27.6,33.6,
A021,3,2020-08-21,4.7855,27.6,33.7,
A036,3,2020-08-21,3.0097,27.7,33.6,
A039,3,2020-08-21,5.94074,27.8,33.6,
A056,3,2020-08-21,4.2893,27.7,33.6,
A058,3,2020-08-21,7.8163,27.7,33.6,
A064,3,2020-08-21,4.5632,27.7,33.6,
A074,3,2020-08-21,NA,NA,NA,Dead
A081,3,2020-08-21,4.0364,27.8,33.6,
A094,3,2020-08-21,6.4742,27.8,33.6,
A100,3,2020-08-21,3.9527,27.7,33.6,
A106,3,2020-08-21,4.3771,27.2,33.6,
A119,3,2020-08-21,4.2787,27.7,33.6,
A125,3,2020-08-21,3.8108,27.9,33.6,
A130,3,2020-08-21,6.3082,27.7,33.6,
A151,3,2020-08-21,4.0022,27.9,33.6,
A162,3,2020-08-21,4.7417,27.9,33.6,
A167,3,2020-08-21,6.0486,27.7,33.6,
A175,3,2020-08-21,6.853,27.7,33.6,
A190,3,2020-08-21,3.6709,27.7,33.6,
A195,3,2020-08-21,3.9598,27.9,33.6,
204,4,2020-08-21,4.7257,27.3,33.7,
216,4,2020-08-21,6.6118,27.2,33.7,
235,4,2020-08-21,6.7661,27.2,33.7,
261,4,2020-08-21,3.3896,27.3,33.7,
266,4,2020-08-21,4.8975,27.3,33.6,
272,4,2020-08-21,3.8073,27.3,33.7,
284,4,2020-08-21,7.2283,27.3,33.6,
285,4,2020-08-21,8.2478,27.3,33.6,
A002,4,2020-08-21,4.0846,27.3,33.7,
A008,4,2020-08-21,3.8363,27.3,33.7,
A027,4,2020-08-21,4.5897,27.3,33.7,
A034,4,2020-08-21,2.6856,27.3,33.7,
A037,4,2020-08-21,3.4143,27.3,33.7,
A040,4,2020-08-21,8.7255,27.3,33.7,
A045,4,2020-08-21,4.4603,27.3,33.7,
A046,4,2020-08-21,6.0478,27.3,33.6,
A068,4,2020-08-21,4.1194,27.3,33.7,
A071,4,2020-08-21,4.4916,27.3,33.7,
A076,4,2020-08-21,4.5539,27.2,33.6,
A089,4,2020-08-21,7.6205,27.3,33.6,
A102,4,2020-08-21,5.29,27.3,33.7,
A107,4,2020-08-21,4.26189,27.3,33.7,
A118,4,2020-08-21,3.6472,27.3,33.7,
A129,4,2020-08-21,7.1718,27.3,33.7,
A155,4,2020-08-21,4.5008,27.2,33.7,
A163,4,2020-08-21,5.6562,27.3,33.7,
A172,4,2020-08-21,3.7318,27.3,33.7,
A176,4,2020-08-21,8.0554,27.3,33.7,
A179,4,2020-08-21,4.1913,27.3,33.7,
A198,4,2020-08-21,3.7496,27.3,33.7,
A199,4,2020-08-21,10.1621,27.3,33.7,
227,5,2020-08-21,2.8906,27.8,34.3,Water sample Batch 3 init
228,5,2020-08-21,6.752,27.9,34.3,
250,5,2020-08-21,4.7426,27.8,34.3,
252,5,2020-08-21,4.6956,27.8,34.3,
256,5,2020-08-21,10.1726,27.8,34.3,
264,5,2020-08-21,10.203,27.9,34.3,
268,5,2020-08-21,6.892,27.9,34.3,
276,5,2020-08-21,7.0654,27.8,34.3,
A004,5,2020-08-21,4.1048,27.9,34.3,
A015,5,2020-08-21,3.3362,27.9,34.3,
A017,5,2020-08-21,3.3971,27.9,34.2,
A028,5,2020-08-21,3.2751,27.8,34.3,
A049,5,2020-08-21,6.1941,27.9,34.3,
A057,5,2020-08-21,6.0226,27.9,34.3,
A062,5,2020-08-21,3.2861,27.8,34.3,
A066,5,2020-08-21,3.894,27.8,34.3,
A086,5,2020-08-21,4.5535,27.9,34.3,
A087,5,2020-08-21,4.7056,27.8,34.3,reglued 8.21.2020
A091,5,2020-08-21,4.5598,27.8,34.3,
A095,5,2020-08-21,4.5881,27.8,34.3,
A109,5,2020-08-21,4.4856,27.9,34.3,
A115,5,2020-08-21,3.4453,27.9,34.3,
A121,5,2020-08-21,6.4478,27.9,34.3,
A154,5,2020-08-21,4.4741,27.9,34.3,
A160,5,2020-08-21,4.3513,27.9,34.3,
A166,5,2020-08-21,6.2983,27.9,34.3,
A180,5,2020-08-21,4.1484,27.9,34.3,
A181,5,2020-08-21,4.4258,27.9,34.3,
A189,5,2020-08-21,3.3567,27.9,34.3,
A200,5,2020-08-21,6.4461,27.8,34.3,
217,6,2020-08-21,5.5866,27.6,34.3,
221,6,2020-08-21,3.097,27.6,34.3,
224,6,2020-08-21,7.168,27.5,34.4,
241,6,2020-08-21,7.8178,27.4,34.4,
244,6,2020-08-21,4.3902,27.6,34.3,
251,6,2020-08-21,5.0613,27.6,34.3,
274,6,2020-08-21,9.0287,27.4,34.4,
277,6,2020-08-21,4.822,27.6,34.3,
288,6,2020-08-21,7.3665,27.6,34.3,
A003,6,2020-08-21,3.9821,27.6,34.3,
A016,6,2020-08-21,3.6465,27.5,34.3,
A020,6,2020-08-21,3.0463,27.4,34.4,
A032,6,2020-08-21,6.7456,27.4,34.4,
A044,6,2020-08-21,5.8033,27.5,34.3,
A050,6,2020-08-21,3.5101,27.4,34.4,
A059,6,2020-08-21,6.7638,27.4,34.4,
A063,6,2020-08-21,4.4867,27.5,34.4,
A082,6,2020-08-21,5.0754,27.6,34.4,
A090,6,2020-08-21,3.9542,27.6,34.4,
A096,6,2020-08-21,3.6015,27.5,34.4,
A098,6,2020-08-21,5.2487,27.4,34.4,
A112,6,2020-08-21,3.7473,27.5,34.3,
A122,6,2020-08-21,4.6837,27.5,34.3,
A123,6,2020-08-21,4.1791,27.5,34.4,
A128,6,2020-08-21,4.4586,27.5,34.3,
A132,6,2020-08-21,5.9278,27.6,34.4,
A173,6,2020-08-21,3.9908,27.4,34.4,
A174,6,2020-08-21,4.7426,27.4,34.4,
A177,6,2020-08-21,4.4768,27.4,34.4,
A178,6,2020-08-21,3.5245,27.4,34.4,
A194,6,2020-08-21,3.7996,27.5,34.3,
208,7,2020-08-21,5.0024,27.2,34.4,
218,7,2020-08-21,3.9889,27.2,34.4,
229,7,2020-08-21,7.6506,27.2,34.4,
230,7,2020-08-21,7.6757,27.2,34.4,
243,7,2020-08-21,5.1612,27.2,34.4,
245,7,2020-08-21,3.9793,27.2,34.4,
279,7,2020-08-21,4.4998,27.2,34.4,
281,7,2020-08-21,7.6987,27.2,34.4,
283,7,2020-08-21,8.3391,27.2,34.4,
A005,7,2020-08-21,6.3845,27.2,34.4,
A012,7,2020-08-21,3.9462,27.2,34.4,
A030,7,2020-08-21,3.6766,27.2,34.4,
A031,7,2020-08-21,4.9605,27.2,34.4,
A033,7,2020-08-21,2.778,27.2,34.4,
A047,7,2020-08-21,4.0383,27.2,34.4,
A053,7,2020-08-21,7.7304,27.2,34.4,
A055,7,2020-08-21,5.6991,27.2,34.4,
A069,7,2020-08-21,4.02,27.2,34.4,
A073,7,2020-08-21,5.8154,27.2,34.4,
A088,7,2020-08-21,4.3151,27.2,34.4,
A103,7,2020-08-21,3.7582,27.2,34.4,
A104,7,2020-08-21,4.9302,27.2,34.4,
A110,7,2020-08-21,3.9138,27.2,34.4,
A113,7,2020-08-21,5.857,27.2,34.4,
A120,7,2020-08-21,4.1385,27.2,34.4,
A164,7,2020-08-21,6.0642,27.2,34.4,
A169,7,2020-08-21,3.7533,27.2,34.4,
A170,7,2020-08-21,5.0669,27.2,34.4,
A182,7,2020-08-21,4.7605,27.2,34.4,
A186,7,2020-08-21,3.8097,27.2,34.4,
A191,7,2020-08-21,3.5993,27.2,34.4,
207,8,2020-08-21,4.74,27.1,34.4,
209,8,2020-08-21,4.2546,27.1,34.4,
225,8,2020-08-21,9.0785,27.1,34.4,
234,8,2020-08-21,6.2959,27,34.5,
242,8,2020-08-21,5.6668,27.1,34.4,
260,8,2020-08-21,3.1171,27.1,34.5,
263,8,2020-08-21,3.5729,27.1,34.4,
273,8,2020-08-21,7.9813,27.1,34.4,
275,8,2020-08-21,7.9948,27,34.5,
A006,8,2020-08-21,4.0185,27.1,34.4,
A013,8,2020-08-21,3.8142,27.1,34.4,
A023,8,2020-08-21,4.7924,27.1,34.4,
A025,8,2020-08-21,3.7878,27.1,34.4,maybe broke at top
A035,8,2020-08-21,2.6986,27.1,34.5,
A042,8,2020-08-21,4.8267,27.1,34.4,
A043,8,2020-08-21,4.3898,27.1,34.4,
A054,8,2020-08-21,8.0504,27.1,34.4,
A065,8,2020-08-21,4.1576,27.1,34.4,
A079,8,2020-08-21,4.0678,27.1,34.4,
A080,8,2020-08-21,6.5157,27.1,34.4,
A085,8,2020-08-21,5.0251,27,34.5,
A093,8,2020-08-21,6.8216,27.1,34.4,
A099,8,2020-08-21,3.8322,27.1,34.4,
A124,8,2020-08-21,4.0618,27.1,34.4,
A133,8,2020-08-21,5.5486,27.1,34.4,
A156,8,2020-08-21,5.9998,27,34.5,
A168,8,2020-08-21,5.2626,27,34.5,
A171,8,2020-08-21,3.5622,27.1,34.4,
A187,8,2020-08-21,7.7086,27.1,34.4,
A193,8,2020-08-21,3.7293,27.1,34.4,
A197,8,2020-08-21,3.7166,27.1,34.4,
257,Holding,2020-08-21,NA,NA,NA,Not used 
A070,Holding,2020-08-21,3.6366,27.1,34.4,
A092,Holding (3),2020-08-21,3.6562,27.1,34.4,
A141,Holding,2020-08-21,NA,NA,NA,Not used 
A148,Holding,2020-08-21,NA,NA,NA,Not used 
A153,Holding (4),2020-08-21,3.2236,27,34.5,New
A136,Holding,2020-08-21,3.0208,27,34.5,New
A142,Holding,2020-08-21,3.1917,27,34.5,New
A145,Holding,2020-08-21,3.4947,27,34.5,New
