Sample ID,Date,Hour,Tank,Sample,Treatment,sample,NH4,Si(uM),NO2(uM),N+N(uM),NO3(uM),PO4(uM)
19_8,09-27-2020,02:00:00 PM,8,19,NH4_P,Chl,27.807,,,,,
20_3,09-28-2020,12:15:00 PM,3,20,NH4_D,Chl,23.878,,,,,
20_4,09-28-2020,12:15:00 PM,4,20,NH4_D,Chl,31.559,,,,,
20_7,09-28-2020,12:15:00 PM,7,20,NH4_P,Chl,24.582,,,,,
20_8,09-28-2020,12:15:00 PM,8,20,NH4_P,Chl,31.343,,,,,
21_3,09-29-2020,12:00:00 PM,3,21,NH4_D,Chl,26.699,,,,,
21_4,09-29-2020,12:00:00 PM,4,21,NH4_D,Chl,26.127,,,,,
21_7,09-29-2020,12:00:00 PM,7,21,NH4_P,Chl,26.782,,,,,
21_8,09-29-2020,12:00:00 PM,8,21,NH4_P,Chl,27.54,,,,,
22_3,09-30-2020,12:00:00 PM,3,22,NH4_D,Chl,24.67,,,,,
22_4,09-30-2020,12:00:00 PM,4,22,NH4_D,Chl,20.689,,,,,
22_7,09-30-2020,12:00:00 PM,7,22,NH4_P,Chl,21.183,,,,,
22_8,09-30-2020,12:00:00 PM,8,22,NH4_P,Chl,22.597,,,,,
23_3,10-01-2020,07:30:00 AM,3,23,NH4_D,Chl,22.776,,,,,
23_4,10-01-2020,07:30:00 AM,4,23,NH4_D,Chl,19.444,,,,,
23_7,10-01-2020,07:30:00 AM,7,23,NH4_P,Chl,20.798,,,,,
23_8,10-01-2020,07:30:00 AM,8,23,NH4_P,Chl,22.595,,,,,
23_1,10-01-2020,07:30:00 AM,1,23,Ambient_D,Chl,8.395,,,,,
23_2,10-01-2020,07:30:00 AM,2,23,Ambient_D,Chl,10.816,,,,,
23_5,10-01-2020,07:30:00 AM,5,23,Ambient_P,Chl,11.327,,,,,
23_6,10-01-2020,07:30:00 AM,6,23,Ambient_P,Chl,9.884,,,,,
25-01,10-2-2020,09:30:00 AM,1,25,Ambient_D,Chl,6.25,0.1,0.22,3.82,3.6,0.44
25-02,10-2-2020,09:30:00 AM,2,25,Ambient_D,Chl,9.28,0.6,0.8,5.06,4.26,0.61
25-03,10-2-2020,09:30:00 AM,3,25,NH4_D,Chl,16.18,4.5,0.85,5.22,4.36,0.3
25-04,10-2-2020,09:30:00 AM,4,25,NH4_D,Chl,14.27,2,0.38,4.48,4.09,0.25
25-05,10-2-2020,09:30:00 AM,5,25,Ambient_P,Chl,5.42,1.1,0.4,4.44,4.03,0.4
25-06,10-2-2020,09:30:00 AM,6,25,Ambient_P,Chl,6.21,0.1,0.19,4.01,3.82,0.52
25-07,10-2-2020,09:30:00 AM,7,25,NH4_P,Chl,12.56,1.1,0.39,4.48,4.09,0.21
25-08,10-2-2020,09:30:00 AM,8,25,NH4_P,Chl,15.06,1.5,0.48,4.32,3.83,0.28
26-01,10-3-2020,02:30:00 PM,1,26,Ambient_D,Chl,7.57,1.6,0.25,4.55,4.3,0.37
26-02,10-3-2020,02:30:00 PM,2,26,Ambient_D,Chl,9.75,1.7,1.06,5.65,4.59,0.58
26-03,10-3-2020,02:30:00 PM,3,26,NH4_D,Chl,18.75,5,1.27,5.71,4.44,0.48
26-04,10-3-2020,02:30:00 PM,4,26,NH4_D,Chl,18.48,4.1,0.51,4.77,4.26,0.53
26-05,10-3-2020,02:30:00 PM,5,26,Ambient_P,Chl,7.06,1.9,0.51,5.16,4.64,0.41
26-06,10-3-2020,02:30:00 PM,6,26,Ambient_P,Chl,5.22,0.1,0.24,4.04,3.8,0.45
26-07,10-3-2020,02:30:00 PM,7,26,NH4_P,Chl,17.71,3.2,0.5,4.79,4.3,0.43
26-08,10-3-2020,02:30:00 PM,8,26,NH4_P,Chl,19.56,3.4,0.74,4.85,4.11,0.46
Source Samp(green),10-3-2020,02:30:00 PM,Samp(green),Source,Source,Chl,0.52,5.5,0.07,3.92,3.85,0.11
26-TT,10-3-2020,02:30:00 PM,TT,26,Source,Chl,1.61,0.3,0.62,2.96,2.34,0.36
27-01,10-4-2020,01:30:00 PM,1,27,Ambient_D,Chl,7.83,0.3,0.3,4.72,4.42,0.55
27-02,10-4-2020,01:30:00 PM,2,27,Ambient_D,Chl,10.01,0.5,1.26,6.29,5.04,0.64
27-03,10-4-2020,01:30:00 PM,3,27,NH4_D,Chl,21.36,2.6,3.21,8.22,5.01,1.57
27-04,10-4-2020,01:30:00 PM,4,27,NH4_D,Chl,21.13,0.9,1.2,5.54,4.34,1.93
27-05,10-4-2020,01:30:00 PM,5,27,Ambient_P,Chl,8.63,1.3,0.66,5.52,4.86,0.55
27-06,10-4-2020,01:30:00 PM,6,27,Ambient_P,Chl,4.67,0,0.27,4.01,3.74,0.41
27-07,10-4-2020,01:30:00 PM,7,27,NH4_P,Chl,21.51,0.4,1.16,5.57,4.41,1.38
27-08,10-4-2020,01:30:00 PM,8,27,NH4_P,Chl,21.17,0.4,1.8,6.2,4.4,1.51
27 Beach,10-4-2020,01:30:00 PM,Beach,27,Source,Chl,2.49,4.8,0.23,1.41,1.18,0.28
28-01,10-5-2020,12:00:00 PM,1,28,Ambient_D,Chl,6.12,0,0.36,4.98,4.63,0.41
28-02,10-5-2020,12:00:00 PM,2,28,Ambient_D,Chl,8.5,0.4,1.7,7,5.3,0.4
28-03,10-5-2020,12:00:00 PM,3,28,NH4_D,Chl,18.24,1.6,2.85,8.06,5.21,0.55
28-04,10-5-2020,12:00:00 PM,4,28,NH4_D,Chl,19.88,0.3,1.13,5.67,4.54,0.5
28-05,10-5-2020,12:00:00 PM,5,28,Ambient_P,Chl,8.4,0.2,1.05,6.5,5.45,0.35
28-06,10-5-2020,12:00:00 PM,6,28,Ambient_P,Chl,3.38,0.5,0.27,3.89,3.63,0.27
28-07,10-5-2020,12:00:00 PM,7,28,NH4_P,Chl,18.7,0.7,1.1,5.74,4.63,0.45
28-08,10-5-2020,12:00:00 PM,8,28,NH4_P,Chl,17.42,0,1.7,6.53,4.82,0.46
29-01,10-6-2020,10:30:00 AM,1,29,Ambient_D,Chl,5.71,0,0.57,4.83,4.27,0.37
29-02,10-6-2020,10:30:00 AM,2,29,Ambient_D,Chl,7.44,0,2.64,7.84,5.2,0.45
29-03,10-6-2020,10:30:00 AM,3,29,NH4_D,Chl,12.54,0,3.95,9.01,5.06,0.38
29-04,10-6-2020,10:30:00 AM,4,29,NH4_D,Chl,15.82,0,1.7,6.33,4.63,0.45
29-05,10-6-2020,10:30:00 AM,5,29,Ambient_P,Chl,4.78,0,1.4,5.99,4.6,0.29
29-06,10-6-2020,10:30:00 AM,6,29,Ambient_P,Chl,2.93,0,0.39,3.27,2.88,0.21
29-07,10-6-2020,10:30:00 AM,7,29,NH4_P,Chl,12.84,0,1.6,6.48,4.88,0.28
29-08,10-6-2020,10:30:00 AM,8,29,NH4_P,Chl,12.84,0,2.5,7.09,4.59,0.34
30-01,10-6-2020,04:00:00 PM,1,30,Ambient_D,Chl,5.3,0,0.56,5.3,4.74,0.37
30-02,10-6-2020,04:00:00 PM,2,30,Ambient_D,Chl,7.16,0.2,2.69,8.28,5.59,0.54
30-03,10-6-2020,04:00:00 PM,3,30,NH4_D,Chl,10.87,0,4.08,9.76,5.68,0.42
30-04,10-6-2020,04:00:00 PM,4,30,NH4_D,Chl,14.54,0,1.82,6.74,4.92,0.47
30-05,10-6-2020,04:00:00 PM,5,30,Ambient_P,Chl,4.04,0,1.42,6.71,5.29,0.3
30-06,10-6-2020,04:00:00 PM,6,30,Ambient_P,Chl,3.16,0,0.4,3.7,3.31,0.26
30-07,10-6-2020,04:00:00 PM,7,30,NH4_P,Chl,11.85,0,1.66,6.86,5.2,0.33
30-08,10-6-2020,04:00:00 PM,8,30,NH4_P,Chl,12.54,0,2.62,7.59,4.96,0.46
31-01,10-7-2020,08:00:00 AM,1,31,Ambient_D,Chl,4.15,0,0.55,4.6,4.05,0.34
31-02,10-7-2020,08:00:00 AM,2,31,Ambient_D,Chl,7.32,0,3.05,7.39,4.34,0.54
31-03,10-7-2020,08:00:00 AM,3,31,NH4_D,Chl,9.6,0,4.15,8.56,4.41,0.31
31-04,10-7-2020,08:00:00 AM,4,31,NH4_D,Chl,13.31,0,2.08,5.69,3.61,0.37
31-05,10-7-2020,08:00:00 AM,5,31,Ambient_P,Chl,3.3,0,1.62,5.08,3.46,0.28
31-06,10-7-2020,08:00:00 AM,6,31,Ambient_P,Chl,2.33,0,0.39,3.1,2.71,0.24
31-07,10-7-2020,08:00:00 AM,7,31,NH4_P,Chl,9.16,0,1.78,5.82,4.04,0.24
31-08,10-7-2020,08:00:00 AM,8,31,NH4_P,Chl,9.9,0,2.87,6.57,3.7,0.3
32-01,10-7-2020,12:30:00 PM,1,32,Ambient_D,Chl,2.68,0,0.56,4.85,4.29,0.42
32-02,10-7-2020,12:30:00 PM,2,32,Ambient_D,Chl,5.59,0,3.14,8.84,5.71,0.51
32-03,10-7-2020,12:30:00 PM,3,32,NH4_D,Chl,6.92,0,4.1,9.71,5.61,0.3
32-04,10-7-2020,12:30:00 PM,4,32,NH4_D,Chl,10.7,0,2.13,6.89,4.76,0.35
32-05,10-7-2020,12:30:00 PM,5,32,Ambient_P,Chl,1.61,0,1.59,5.61,4.02,0.32
32-06,10-7-2020,12:30:00 PM,6,32,Ambient_P,Chl,1.65,0,0.34,2.07,1.73,0.24
32-07,10-7-2020,12:30:00 PM,7,32,NH4_P,Chl,6.52,0,1.76,6.88,5.12,0.18
32-08,10-7-2020,12:30:00 PM,8,32,NH4_P,Chl,7.45,0,2.87,7.74,4.88,0.23
33-01,10-7-2020,04:15:00 PM,1,33,Ambient_D,Chl,3.41,0,0.57,4.73,4.16,0.37
33-02,10-7-2020,04:15:00 PM,2,33,Ambient_D,Chl,5.99,0.1,3.12,8.56,5.44,0.58
33-03,10-7-2020,04:15:00 PM,3,33,NH4_D,Chl,6.37,0,4.09,9.5,5.41,0.39
33-04,10-7-2020,04:15:00 PM,4,33,NH4_D,Chl,10.43,0,2.22,6.92,4.7,0.48
33-05,10-7-2020,04:15:00 PM,5,33,Ambient_P,Chl,2.17,0,1.6,5.43,3.83,0.32
33-06,10-7-2020,04:15:00 PM,6,33,Ambient_P,Chl,2.13,0.1,0.35,2.48,2.13,0.31
33-07,10-7-2020,04:15:00 PM,7,33,NH4_P,Chl,6.62,0,1.82,6.88,5.06,0.27
33-08,10-7-2020,04:15:00 PM,8,33,NH4_P,Chl,8.18,0,2.98,7.74,4.76,0.49
VAT 10.7.20,10-7-2020,04:15:00 PM,Vat,VAT,Source,Chl,0.71,6.2,0.07,5.01,4.94,0.09
34-01,10-8-2020,08:30:00 AM,1,34,Ambient_D,Chl,4.78,0,0.74,3.58,2.84,0.34
34-02,10-8-2020,08:30:00 AM,2,34,Ambient_D,Chl,6.57,0.8,3.05,7.64,4.6,0.53
34-03,10-8-2020,08:30:00 AM,3,34,NH4_D,Chl,7.19,2.1,2.37,6.87,4.51,0.24
34-04,10-8-2020,08:30:00 AM,4,34,NH4_D,Chl,10.57,2.4,1.53,5.6,4.07,0.35
34-05,10-8-2020,08:30:00 AM,5,34,Ambient_P,Chl,2.35,0,1.55,3.74,2.19,0.29
34-06,10-8-2020,08:30:00 AM,6,34,Ambient_P,Chl,2.86,0.5,0.35,0.97,0.62,0.26
34-07,10-8-2020,08:30:00 AM,7,34,NH4_P,Chl,7.04,2.2,1.15,5.36,4.2,0.25
34-08,10-8-2020,08:30:00 AM,8,34,NH4_P,Chl,8.5,1.9,2.03,6.02,3.98,0.19
35-01,10-8-2020,12:30:00 PM,1,35,Ambient_D,Chl,4.98,0,0.75,4.37,3.61,0.31
35-02,10-8-2020,12:30:00 PM,2,35,Ambient_D,Chl,6.68,0.5,3.1,8.67,5.57,0.46
35-03,10-8-2020,12:30:00 PM,3,35,NH4_D,Chl,6.79,2.2,2.33,7.99,5.66,0.29
35-04,10-8-2020,12:30:00 PM,4,35,NH4_D,Chl,9.48,2.4,1.52,6.66,5.15,0.34
35-05,10-8-2020,12:30:00 PM,5,35,Ambient_P,Chl,1.62,0,1.57,4.58,3.01,0.17
35-06,10-8-2020,12:30:00 PM,6,35,Ambient_P,Chl,2.03,0.2,0.35,1.91,1.56,0.3
35-07,10-8-2020,12:30:00 PM,7,35,NH4_P,Chl,7.01,2.2,2.37,8.41,6.04,0.32
35-08,10-8-2020,12:30:00 PM,8,35,NH4_P,Chl,9.96,2.4,1.52,6.74,5.22,0.36
36-01,10-8-2020,04:30:00 PM,1,36,Ambient_D,Chl,4.49,0,0.76,4.6,3.84,0.34
36-02,10-8-2020,04:30:00 PM,2,36,Ambient_D,Chl,6.46,0.8,3.03,8.57,5.54,0.53
36-03,10-8-2020,04:30:00 PM,3,36,NH4_D,Chl,7.52,2.1,2.37,7.83,5.46,0.26
36-04,10-8-2020,04:30:00 PM,4,36,NH4_D,Chl,10.32,2.3,1.53,6.38,4.85,0.33
36-05,10-8-2020,04:30:00 PM,5,36,Ambient_P,Chl,2.27,0,1.55,4.7,3.15,0.25
36-06,10-8-2020,04:30:00 PM,6,36,Ambient_P,Chl,2.53,0.4,0.35,2.01,1.66,0.21
36-07,10-8-2020,04:30:00 PM,7,36,NH4_P,Chl,7.61,2.1,1.14,6.54,5.4,0.19
36-08,10-8-2020,04:30:00 PM,8,36,NH4_P,Chl,8.51,1.9,2.04,7.34,5.31,0.21
37-01,10-9-2020,08:30:00 AM,1,37,Ambient_D,Chl,4.51,0,0.77,4.88,4.11,0.41
37-02,10-9-2020,08:30:00 AM,2,37,Ambient_D,Chl,4.89,0.9,2.65,8.43,5.78,0.42
37-03,10-9-2020,08:30:00 AM,3,37,NH4_D,Chl,6.86,0.1,3,7.55,4.56,0.19
37-04,10-9-2020,08:30:00 AM,4,37,NH4_D,Chl,10.69,0.3,2.1,7.25,5.16,0.28
37-05,10-9-2020,08:30:00 AM,5,37,Ambient_P,Chl,2,0,1.53,4.52,2.99,0.2
37-06,10-9-2020,08:30:00 AM,6,37,Ambient_P,Chl,2.67,1,0.4,2.63,2.24,0.23
37-07,10-9-2020,08:30:00 AM,7,37,NH4_P,Chl,7.96,0,1.54,6.9,5.36,0.2
37-08,10-9-2020,08:30:00 AM,8,37,NH4_P,Chl,8.77,0,2.85,7.87,5.03,0.16
38-01,10-9-2020,16:30:00 AM,1,38,Ambient_D,Chl,1.29,1.7,0.43,4.95,4.52,0.11
38-02,10-9-2020,16:30:00 AM,2,38,Ambient_D,Chl,2.1,2.9,1.59,7.01,5.42,0.17
38-03,10-9-2020,16:30:00 AM,3,38,NH4_D,Chl,3.01,0,3.35,9.17,5.82,0.1
38-04,10-9-2020,16:30:00 AM,4,38,NH4_D,Chl,8.15,0,2.52,7.26,4.74,0.17
38-05,10-9-2020,16:30:00 AM,5,38,Ambient_P,Chl,0.81,2.7,0.69,4.3,3.61,0.1
38-06,10-9-2020,16:30:00 AM,6,38,Ambient_P,Chl,1.8,3.2,0.31,3.69,3.38,0.11
38-07,10-9-2020,16:30:00 AM,7,38,NH4_P,Chl,4.97,0,1.77,7.19,5.42,0.1
38-08,10-9-2020,16:30:00 AM,8,38,NH4_P,Chl,6.15,0,3.26,8.16,4.9,0.22
39-01,10-10-2020,02:45:00 PM,1,39,Ambient_D,Chl,1.97,0,0.65,3.14,2.49,1.5
39-02,10-10-2020,02:45:00 PM,2,39,Ambient_D,Chl,4.37,2.5,2.16,6.87,4.71,2.05
39-03,10-10-2020,02:45:00 PM,3,39,NH4_D,Chl,3.11,0,2.99,7.37,4.38,0.58
39-04,10-10-2020,02:45:00 PM,4,39,NH4_D,Chl,7.69,0,2.78,6.57,3.78,0.4
39-05,10-10-2020,02:45:00 PM,5,39,Ambient_P,Chl,1.67,1.6,0.46,0.86,0.4,1.78
39-06,10-10-2020,02:45:00 PM,6,39,Ambient_P,Chl,2.56,2.6,0.49,2.57,2.08,0.16
39-07,10-10-2020,02:45:00 PM,7,39,NH4_P,Chl,7,1.5,2,6.22,4.22,5.73
39-08,10-10-2020,02:45:00 PM,8,39,NH4_P,Chl,7.08,3.7,3.5,7.43,3.93,8.92
40-01,10-11-2020,04:45:00 PM,1,40,Ambient_D,Chl,1.13,0,0.83,1.94,1.1,0
40-02,10-11-2020,04:45:00 PM,2,40,Ambient_D,Chl,3.82,2.1,2.66,8.41,5.75,0.46
40-03,10-11-2020,04:45:00 PM,3,40,NH4_D,Chl,1.92,0,2.26,6.13,3.87,1.77
40-04,10-11-2020,04:45:00 PM,4,40,NH4_D,Chl,5.32,0,2.91,7.15,4.24,0.13
40-05,10-11-2020,04:45:00 PM,5,40,Ambient_P,Chl,1.14,0.5,0.35,0.44,0.09,0.22
40-06,10-11-2020,04:45:00 PM,6,40,Ambient_P,Chl,1.42,1.8,0.45,0.8,0.35,0.37
40-07,10-11-2020,04:45:00 PM,7,40,NH4_P,Chl,4.73,0.1,2.2,6.89,4.69,2.31
40-08,10-11-2020,04:45:00 PM,8,40,NH4_P,Chl,4.71,0.7,3.73,8.21,4.48,0.85
41-01,10-12-2020,12:50:00 PM,1,41,Ambient_D,Chl,1.1,0,0.18,0.7,0.52,0.14
41-02,10-12-2020,12:50:00 PM,2,41,Ambient_D,Chl,1.91,0.9,2.42,8.85,6.43,0.22
41-03,10-12-2020,12:50:00 PM,3,41,NH4_D,Chl,1.2,0,1.39,4.24,2.85,0.06
41-04,10-12-2020,12:50:00 PM,4,41,NH4_D,Chl,2.25,0,2.64,7.64,5,0.08
41-05,10-12-2020,12:50:00 PM,5,41,Ambient_P,Chl,1.01,0.2,0.07,0.68,0.61,0.09
41-06,10-12-2020,12:50:00 PM,6,41,Ambient_P,Chl,1.63,1.3,0.1,0.84,0.74,0.17
41-07,10-12-2020,12:50:00 PM,7,41,NH4_P,Chl,1.64,0,1.95,7.34,5.4,0.04
41-08,10-12-2020,12:50:00 PM,8,41,NH4_P,Chl,1.59,0,3.17,8.09,4.92,0.06
42-01,10-12-2020,16:30:00 AM,1,42,Ambient_D,Chl,1.01,0,0.22,0.97,0.75,0.16
42-02,10-12-2020,16:30:00 AM,2,42,Ambient_D,Chl,2.06,1,2.38,8.7,6.32,0.27
42-03,10-12-2020,16:30:00 AM,3,42,NH4_D,Chl,2.06,0,1.37,4.63,3.26,0.17
42-04,10-12-2020,16:30:00 AM,4,42,NH4_D,Chl,3.33,0,2.58,7.91,5.33,0.2
42-05,10-12-2020,16:30:00 AM,5,42,Ambient_P,Chl,0.96,0.6,0.11,0.84,0.73,0.15
42-06,10-12-2020,16:30:00 AM,6,42,Ambient_P,Chl,1.5,1.7,0.1,0.94,0.84,0.31
42-07,10-12-2020,16:30:00 AM,7,42,NH4_P,Chl,2.55,0,1.91,7.22,5.31,0.09
42-08,10-12-2020,16:30:00 AM,8,42,NH4_P,Chl,2.48,0,3.08,7.9,4.82,0.14
43-01,10-13-2020,01:15:00 PM,1,43,Ambient_D,Chl,1.12,0,0.2,0.44,0.24,0.05
43-02,10-13-2020,01:15:00 PM,2,43,Ambient_D,Chl,1.72,1.2,2.03,7.41,5.38,0.26
43-03,10-13-2020,01:15:00 PM,3,43,NH4_D,Chl,2.77,0,1.32,4.82,3.5,0.07
43-04,10-13-2020,01:15:00 PM,4,43,NH4_D,Chl,3.92,0,2.38,6.94,4.57,0.1
43-05,10-13-2020,01:15:00 PM,5,43,Ambient_P,Chl,1.08,1.3,0.09,0.1,0.01,0.06
43-06,10-13-2020,01:15:00 PM,6,43,Ambient_P,Chl,1.37,2.9,0.08,0,0,0.18
43-07,10-13-2020,01:15:00 PM,7,43,NH4_P,Chl,3.17,0,1.76,6.37,4.62,0.04
43-08,10-13-2020,01:15:00 PM,8,43,NH4_P,Chl,2.05,0,2.49,6.1,3.62,0.06
Source Samp(purp),10-3-2020,02:30:00 PM,Vat,43,Source,Frozen,0.5,7,0.11,4.11,4,0.1
27-beach 10.4.20,10-4-2020,01:30:00 PM,Beach,27,Source,Frozen,1.51,3.3,1.08,8.18,7.1,1.25
29-01,10-6-2020,10:30:00 AM,1,29,Ambient_D,Frozen,6.14,0,0.6,5.38,4.78,0.21
29-02,10-6-2020,10:30:00 AM,2,29,Ambient_D,Frozen,6.9,0,2.61,8.35,5.73,0.38
